0,69.212105,本日は横浜について,4
1,113.110392,昭和40年代の赤レンガ倉庫,4
2,140.629063,赤レンガ倉庫は２棟建っている,1
3,146.840442,奥側が長さが短くて,1
4,150.600306,手前側が長さが長くなっている,1
5,215.314375,私は昭和２５年生まれ,2
6,217.927258,今７３歳,2
7,230.009613,赤レンガの隣のマリンタワー,3
8,238.696002,螺旋階段,2
9,252.795288,外の景色が見える階段,2
10,292.324631,赤レンガに記憶,4
11,315.102415,地元をガイドしている,1
12,354.439768,ホームが残っているホームが残っている,1
13,376.096153,にぎわっていた,1
14,387.587574,海外へ行く人,4
15,399.786585,映画　テープ,1
16,469.943415,定期に憧れていた,2
17,503.79199,桜木町の駅,4
18,542.334483,だいぶ今と違う,3
19,554.630427,市電,1
20,563.568398,地面の上を走っている,2
21,579.954979,市電廃止,1
22,582.972447,バスがいっぱい,3
23,593.692238,トロリーバス,1
24,604.079277,トロリーバス,1
25,615.87208,桜木町は初代横浜駅跡,1
26,637.244825,高島町の交差点が二代目横浜駅,1
27,648.811223,関東大震災後に今の横浜駅ができた,1
28,680.194458,１８５９年に横浜は外国と貿易を開始,1
29,740.675462,関東大震災、横浜は壊滅的な被害を受けた,4
30,760.558495,天気が悪く、風がひどかったため、火災が多かった。,1
31,769.935958,横浜の歴史的資料がないのは関東大震災で焼けてしまったから,1
32,780.482218,もう一つの理由は第二次世界大戦で大空襲資料が焼けてしまったから,1
33,871.881301,建設当時の横浜中華街,1
34,879.644609,中華街は南京町といわれていた,1
35,924.290708,吉田新田,4
36,976.894689,新田開発をしたことによりにおいがひどくなった。,3
37,1007.630407,関東大震災の残っているところをたどっていくと本町通り,1
38,1061.046737,関東大震災で一部分が壊れた,1
39,1067.204443,岡倉天心,4
40,1108.425628,東京藝術大学の設立にかかわっている,1
41,1167.721305,高島町の名前は高島嘉右衛門さんが由来,1
42,1326.115072,県庁の前、道を挟んで向い側、三塔が全部見える場所,1
43,1354.487227,横浜スタジアムについて,4
44,1422.176115,生糸とお茶が主な輸出品だった,3
45,1450.76257,生糸が売れた理由は世界の生糸市場が枯渇していたから！,1
46,1488.877843,かいこが生産過剰になって、捨てられていた場所が横浜スタジアム周辺だった！？,1
47,1506.564895,横浜スタジアム周辺は昔風俗街だった？ほんと？？,4
48,1552.403297,風俗街は、高島町だったり、またほかの場所だったり…,4
49,1570.280945,高島町に風俗街があったときは、駅の近くにあって、体裁が悪かった,1
50,1601.366973,井関さんが持ってきてくださった資料登場！！,2
51,1619.249393,１８５８年の横浜港,1
52,1649.445604,横浜に鉄道が開通すると…（資料２ページ目）,1
53,1707.805837,井関さんの持ってきてくださった資料退場TｗTノ”,2
54,1710.676783,吉田新田の話懐かしい～,2
55,1730.395153,地元の話題,4
56,1768.973561,横浜の第一印象？,4
57,1817.810333,神大を選んだ理由,4
58,1832.355802,森林太郎,4
59,1845.523163,横浜市歌,4
60,1864.473356,森鴎外,4
61,1958.190481,オリンピックの時、井関さんは何をしていたのか,4
62,1988.653187,三ツ沢競技場でオリンピックが行われた,1
63,2056.784255,学校の授業でオリンピックを見た,2
64,2137.930243,高校生の時に学生運動があった,1
65,2146.283698,就職が困難になって自営業が増えた,1
66,2168.885664,横浜六大事業,1
67,2198.162852,昭和60年代の桜木町、伊勢佐木町の様子,2
68,2270.571443,六大事業が撤退してみなとみらいができた,2
